,id,budget,popularity,revenue,title,vote_average,vote_count,director_id,year,month,day
517,44114,80000000,15,78000586,Exorcist: The Beginning,4.7,183,4958,2004,Aug,Friday
519,44116,75000000,71,117698894,Now You See Me,7.3,5487,4873,2013,May,Wednesday
520,44117,80000000,38,271430189,Grown Ups,6.0,1705,4964,2010,Jun,Thursday
521,44118,60000000,57,219417255,The Terminal,7.0,1910,4799,2004,Jun,Thursday
523,44120,75000000,13,215663859,Vertical Limit,5.9,283,4791,2000,Dec,Friday
524,44121,75000000,18,119000410,Charlie Wilson's War,6.5,338,5031,2007,Dec,Wednesday
526,44123,70000000,14,154937680,Dreamgirls,6.6,284,4872,2006,Dec,Monday
527,44124,53000000,18,95226116,Be Cool,5.4,292,5033,2005,Mar,Friday
528,44125,70000000,29,130358911,Munich,6.9,696,4799,2005,Dec,Thursday
529,44126,70000000,27,85632458,Tears of the Sun,6.4,573,5034,2003,Mar,Friday
530,44127,75000000,23,98159963,Killers,5.7,772,5035,2010,Jun,Friday
531,44128,75000000,48,108145109,The Man from U.N.C.L.E.,7.1,2265,4888,2015,Aug,Thursday
534,44131,75000000,24,67631903,Bandits,6.2,302,5037,2001,Oct,Friday
536,44133,75000000,13,0,Anna and the King,6.4,197,5039,1999,Dec,Thursday
541,44138,75000000,11,14567883,Soldier,6.1,221,4974,1998,Oct,Friday
545,44142,75000000,42,248118121,Unbreakable,6.9,1946,4854,2000,Nov,Monday
547,44144,82000000,39,89792502,Sucker Punch,5.9,1623,4771,2011,Mar,Thursday
548,44145,73000000,20,103891409,Snake Eyes,5.8,327,4967,1998,Aug,Friday
549,44146,75000000,18,13100000,Sphere,5.8,476,5037,1998,Feb,Friday
551,44148,70000000,21,111231041,Fool's Gold,5.4,444,5039,2008,Feb,Thursday
552,44149,75000000,20,61458982,Funny People,5.7,390,5047,2009,Jul,Friday
553,44150,70000000,26,86658558,The Kingdom,6.5,513,4782,2007,Aug,Wednesday
554,44151,72500000,12,162966177,Talladega Nights: The Ballad of Ricky Bobby,6.2,491,4925,2006,Aug,Friday
557,44154,72000000,32,96889998,Jarhead,6.6,765,4764,2005,Nov,Friday
560,44157,94000000,8,54744738,Driven,4.5,179,4958,2001,Apr,Friday
562,44159,60000000,27,256697520,The Village,6.2,1071,4854,2004,Jul,Friday
564,44161,72000000,28,408247917,Signs,6.4,1599,4854,2002,Aug,Friday
565,44162,150000000,47,919838758,Shrek 2,6.7,2988,4774,2004,May,Wednesday
567,44164,70000000,20,309457509,Runaway Bride,5.7,455,5053,1999,Jul,Friday
568,44165,70000000,46,277448382,xXx,5.8,1424,4810,2002,Aug,Friday
570,44167,80000000,16,309492681,Ransom,6.4,470,4846,1996,Nov,Friday
571,44168,70000000,72,319131050,Inglourious Basterds,7.9,6430,4927,2009,Aug,Tuesday
572,44169,70000000,33,300854823,Hook,6.6,1532,4799,1991,Dec,Wednesday
573,44170,70000000,57,240031094,Die Hard 2,6.6,1896,4958,1990,Jul,Monday
575,44172,68000000,27,203388341,Vanilla Sky,6.5,1078,5056,2001,Dec,Monday
576,44173,75000000,20,42285169,Lady in the Water,5.3,409,4854,2006,Jul,Friday
577,44174,70000000,42,171183863,AVP: Alien vs. Predator,5.5,1217,4974,2004,Aug,Thursday
580,44177,70000000,59,161025640,Olympus Has Fallen,6.2,2981,5034,2013,Mar,Wednesday
582,44179,70000000,49,202466756,Battle: Los Angeles,5.5,1448,4849,2011,Mar,Tuesday
583,44180,70000000,46,122919055,Big Fish,7.6,1994,4785,2003,Dec,Thursday
584,44181,0,13,0,Wolf,6.0,216,5031,1994,Jun,Friday
585,44182,66000000,29,177584879,War Horse,7.0,992,4799,2011,Dec,Sunday
586,44183,70000000,43,154984035,The Monuments Men,5.8,1523,5059,2014,Jan,Friday
587,44184,70000000,24,90000098,The Abyss,7.1,808,4762,1989,Aug,Wednesday
588,44185,70000000,23,134748021,Wall Street: Money Never Sleeps,5.8,493,4839,2010,Sep,Thursday
590,44187,70000000,20,116672912,The Siege,6.0,352,4863,1998,Nov,Friday
593,44190,70000000,14,67112664,The Dilemma,5.2,304,4846,2011,Jan,Thursday
594,44191,70000000,14,65977295,Bad Company,5.4,228,4892,2002,Jun,Friday
595,44192,60000000,29,55987321,Doom,5.0,609,5061,2005,Oct,Thursday
598,44195,75000000,23,59418613,Rock of Ages,6.0,385,4998,2012,Jun,Wednesday
601,44198,0,9,0,Rollerball,3.4,106,4890,2002,Feb,Friday
604,44201,75000000,10,13596911,Osmosis Jones,5.9,228,5067,2001,Aug,Tuesday
606,44203,70000000,46,17752940,Blackhat,5.1,826,4918,2015,Jan,Tuesday
610,44207,70000000,25,61279452,The Legend of Hercules,4.4,533,4958,2014,Jan,Friday
613,44210,68000000,22,71069884,The Score,6.7,423,4947,2001,Jul,Friday
619,44216,36000000,27,83160734,Hall Pass,5.4,611,5067,2011,Feb,Friday
620,44217,90000000,26,60289912,The Insider,7.3,481,4918,1999,Oct,Thursday
622,44219,70000000,37,113280098,Body of Lies,6.5,895,4779,2008,Oct,Friday
623,44220,69000000,11,86387857,Dinner for Schmucks,5.5,531,4948,2010,Jul,Friday
628,44225,70000000,76,481840909,Saving Private Ryan,7.9,5048,4799,1998,Jul,Friday
630,44227,70000000,31,374111707,What Women Want,6.1,992,4978,2000,Dec,Friday
632,44229,68000000,26,75715436,Dreamcatcher,5.3,567,5082,2003,Mar,Friday
633,44230,65000000,36,275293450,Lincoln,6.7,1429,4799,2012,Nov,Friday
634,44231,63000000,104,463517383,The Matrix,7.9,8907,4805,1999,Mar,Tuesday
635,44232,52000000,68,355237933,Apollo 13,7.3,1599,4846,1995,Jun,Friday
639,44236,65000000,22,128107642,Step Brothers,6.5,1062,4925,2008,Jul,Friday
640,44237,95000000,31,250288523,The Mask of Zorro,6.3,1183,4791,1998,Jul,Thursday
641,44238,65000000,43,211780824,Due Date,6.2,1685,4993,2010,Nov,Thursday
643,44240,65000000,15,128884132,Space Cowboys,6.3,403,5087,2000,Jul,Monday
644,44241,70000000,26,255000211,Cliffhanger,6.1,588,4958,1993,May,Friday
645,44242,50000000,22,150270147,Broken Arrow,5.7,453,4893,1996,Feb,Friday
646,44243,65000000,18,69700000,The Kid,6.0,238,4832,2000,Jul,Friday
647,44244,63000000,24,162945894,World Trade Center,5.9,447,4839,2006,Aug,Wednesday
648,44245,65000000,19,0,Mona Lisa Smile,6.5,393,4797,2003,Dec,Friday
649,44246,65000000,31,179379533,The Dictator,5.9,1743,5088,2012,May,Tuesday
653,44250,65000000,38,156974557,This Means War,5.9,1389,4793,2012,Feb,Tuesday
656,44253,65000000,9,0,Primary Colors,6.1,94,5031,1998,Mar,Friday
657,44254,65000000,6,240159255,Resident Evil: Retribution,5.6,1600,4974,2012,Sep,Wednesday
658,44255,45000000,42,73762516,Death Race,6.0,1175,4974,2008,Aug,Friday
659,44256,65000000,15,89456761,The Long Kiss Goodnight,6.5,314,4958,1996,Oct,Friday
660,44257,65000000,14,0,Proof of Life,6.0,208,5093,2000,Dec,Friday
661,44258,65000000,15,64321501,Zathura: A Space Adventure,6.1,779,4808,2005,Nov,Sunday
662,44259,63000000,146,100853753,Fight Club,8.3,9413,4829,1999,Oct,Friday
663,44260,65000000,8,43545364,We Are Marshall,6.7,186,4793,2006,Dec,Tuesday
667,44264,50000000,20,42093706,Oliver Twist,6.7,274,5096,2005,Sep,Friday
669,44266,65000000,85,39407616,Sin City: A Dame to Kill For,6.3,1286,5097,2014,Aug,Wednesday
670,44267,64000000,4,74608570,Random Hearts,5.3,63,4965,1999,Oct,Friday
672,44269,50000000,42,132180323,Perfume: The Story of a Murderer,7.1,1165,4936,2006,Sep,Wednesday
673,44270,63000000,40,296655431,Austin Powers in Goldmember,5.9,979,4948,2002,Jul,Friday
675,44272,63000000,40,920100000,Jurassic Park,7.6,4856,4799,1993,Jun,Friday
676,44273,63000000,13,25052000,Wyatt Earp,6.5,202,5082,1994,Jun,Friday
677,44274,62000000,18,215887717,Clear and Present Danger,6.4,386,4880,1994,Aug,Wednesday
681,44278,62000000,11,107879496,The American President,6.5,195,5101,1995,Nov,Friday
684,44281,44000000,68,155760117,The Hateful Eight,7.6,4274,4927,2015,Dec,Friday
686,44283,63000000,16,183953723,Hop,5.5,331,5105,2011,Mar,Wednesday
687,44284,65000000,65,422610419,300,7.0,4997,4771,2006,Dec,Saturday
688,44285,80000000,32,516642939,Meet the Fockers,6.1,1373,4948,2004,Dec,Wednesday
693,44290,61000000,143,369330363,Gone Girl,7.9,5862,4829,2014,Oct,Wednesday
694,44291,60000000,86,214034224,The Bourne Identity,7.3,3583,4813,2002,Jun,Friday
695,44292,58000000,59,352194034,GoldenEye,6.6,1174,4791,1995,Nov,Thursday
696,44293,60000000,18,149705852,The General's Daughter,6.1,205,4930,1999,Jun,Friday
702,44299,60000000,62,176070171,The Italian Job,6.6,1919,5033,2003,May,Friday
706,44303,60000000,16,157920733,Days of Thunder,5.9,353,4923,1990,Jun,Wednesday
707,44304,60000000,18,129181830,Cheaper by the Dozen 2,5.7,526,4998,2005,Dec,Wednesday
710,44307,60000000,19,0,The Family Man,6.5,521,4786,2000,Dec,Tuesday
711,44308,58000000,41,71664962,RED,6.6,2808,4886,2010,Oct,Wednesday
712,44309,55000000,23,100230832,Any Given Sunday,6.8,422,4839,1999,Dec,Thursday
713,44310,60000000,12,186883563,The Horse Whisperer,6.7,292,5111,1998,May,Thursday
714,44311,65000000,44,217764291,Collateral,7.0,1451,4918,2004,Aug,Wednesday
715,44312,60000000,37,165333180,The Scorpion King,5.3,779,4926,2002,Apr,Tuesday
718,44315,60000000,22,73648228,Deep Blue Sea,5.6,604,4958,1999,Jul,Wednesday
719,44316,60000000,15,0,This Is It,6.7,247,5113,2009,Oct,Wednesday
720,44317,60000000,38,137551594,Contagion,6.2,1325,4909,2011,Sep,Thursday
723,44320,60000000,20,163403799,The Happening,4.9,950,4854,2008,Jun,Wednesday
724,44321,70000000,45,130293714,Man on Fire,7.3,1553,4923,2004,Apr,Friday
725,44322,50000000,4,61112916,The Shaggy Dog,4.5,137,5115,2006,Mar,Thursday
726,44323,60000000,28,170268750,Starsky & Hutch,5.6,644,4993,2004,Mar,Friday
727,44324,60000000,22,129832389,Jingle All the Way,5.5,575,5116,1996,Nov,Friday
728,44325,66000000,47,99318987,Hellboy,6.5,2225,4798,2004,Apr,Friday
732,44329,60000000,29,96269812,Paycheck,5.9,581,4893,2003,Dec,Thursday
737,44334,60000000,42,50549107,Jack Ryan: Shadow Recruit,5.9,1173,4847,2014,Jan,Wednesday
738,44335,60000000,29,101134059,Joy,6.4,1581,5123,2015,Dec,Thursday
740,44337,70000000,37,162000000,Alien: Resurrection,5.9,1365,5125,1997,Nov,Wednesday
741,44338,61000000,37,95696996,Shooter,6.9,1462,5034,2007,Mar,Thursday
748,44345,60000000,25,62357900,Year One,4.6,524,5130,2009,Jun,Thursday
749,44346,60000000,23,122233971,Invictus,7.0,1125,5087,2009,Dec,Thursday
752,44349,65000000,6,36850101,My Favorite Martian,5.1,80,5132,1999,Feb,Thursday
756,44353,60000000,22,119940815,Intolerable Cruelty,5.8,391,5135,2003,Sep,Tuesday
758,44355,80000000,24,74901339,Edge of Darkness,6.2,487,4791,2010,Jan,Friday
759,44356,60000000,12,33956608,The Relic,5.8,130,4935,1997,Jan,Friday
760,44357,60000000,21,55003135,Analyze That,5.7,380,5130,2002,Dec,Friday
763,44360,60000000,17,31720158,The Soloist,6.6,234,4857,2009,Apr,Friday
764,44361,80000000,16,39459427,The Legend of Bagger Vance,6.3,251,5111,2000,Nov,Thursday
765,44362,60000000,21,47383689,Almost Famous,7.4,797,5056,2000,Sep,Friday
766,44363,0,16,141702264,Garfield: A Tail of Two Kitties,5.1,464,5105,2006,Jun,Thursday
767,44364,60000000,36,71073932,xXx: State of the Union,4.7,549,4859,2005,Apr,Wednesday
770,44367,60000000,29,26673242,Event Horizon,6.5,742,4974,1997,Aug,Friday
771,44368,60000000,8,52322400,Dragonfly,6.1,204,4812,2002,Feb,Friday
772,44369,50000000,15,49111202,The Black Dahlia,5.7,287,4967,2006,Sep,Friday
774,44371,72000000,15,27642707,The Last Castle,7.0,285,5140,2001,Oct,Friday
778,44375,60000000,18,50650079,Meet Dave,5.0,371,5115,2008,Jul,Tuesday
780,44377,80000000,14,0,Edtv,5.7,166,4846,1999,Mar,Friday
783,44380,60000000,52,30418560,Mortdecai,5.4,1055,5147,2015,Jan,Wednesday
784,44381,60000000,15,0,In the Name of the King: A Dungeon Siege Tale,4.1,224,5148,2007,Nov,Thursday
785,44382,35000000,6,0,Beyond Borders,6.7,110,4791,2003,Oct,Thursday
789,44386,60000000,9,0,Holy Man,4.9,111,5152,1998,Oct,Thursday
790,44387,58800000,87,542307423,American Sniper,7.4,4469,5087,2014,Dec,Thursday
792,44389,58000000,13,102854431,Just Like Heaven,6.5,579,4955,2005,Sep,Friday
793,44390,83000000,6,59468275,The Flintstones in Viva Rock Vegas,4.4,134,5116,2000,Apr,Friday
795,44392,58000000,7,41299492,Leatherheads,5.7,130,5059,2008,Mar,Monday
796,44393,60000000,19,0,The Ridiculous 6,4.9,388,4917,2015,Dec,Friday
798,44395,58000000,1,44000000,The Internship,6.1,1658,4842,2013,Jun,Friday
799,44396,60000000,2,300228084,Resident Evil: Afterlife,5.8,1363,4974,2010,Sep,Thursday
801,44398,57000000,33,152944660,The Devil's Advocate,7.2,1374,5093,1997,Oct,Friday
803,44400,57000000,31,115267375,DragonHeart,6.4,535,4810,1996,May,Friday
804,44401,60000000,14,61347797,After the Sunset,6.0,226,4786,2004,Nov,Friday
806,44403,57000000,9,62112895,Captain Corelli's Mandolin,5.5,145,5157,2001,Aug,Friday
807,44404,56000000,35,113006880,The Pacifier,5.8,842,4998,2005,Mar,Friday
809,44406,55000000,138,677945399,Forrest Gump,8.2,7927,4804,1994,Jul,Wednesday
810,44407,60000000,47,361366633,Alvin and the Chipmunks,5.5,1177,5105,2007,Dec,Thursday
811,44408,55000000,29,330444045,Meet the Parents,6.6,1698,4948,2000,Oct,Friday
813,44410,55000000,48,300218018,Superman,6.9,1022,4866,1978,Dec,Wednesday
814,44411,54000000,20,128769345,The Nutty Professor,5.4,702,4812,1996,Jun,Wednesday
815,44412,70000000,34,368100420,Hitch,6.4,1665,5039,2005,Feb,Thursday
818,44415,55000000,52,95000000,Captain Phillips,7.6,2454,4876,2013,Oct,Thursday
819,44416,55000000,38,152263880,Date Night,5.9,1122,4842,2010,Apr,Thursday
821,44418,55000000,79,192330738,The Equalizer,7.1,2954,5034,2014,Sep,Wednesday
822,44419,55000000,19,154906693,Maid in Manhattan,5.6,485,5162,2002,Dec,Friday
823,44420,53000000,20,157387195,Crimson Tide,7.0,498,4923,1995,May,Friday
825,44422,55000000,32,223387299,Flightplan,6.1,772,4886,2005,Sep,Thursday
826,44423,55000000,15,214015089,Disclosure,5.9,210,5037,1994,Dec,Friday
828,44425,30000000,79,180949000,Kill Bill: Vol. 1,7.7,4949,4927,2003,Oct,Friday
829,44426,55000000,13,0,Bowfinger,6.0,254,4947,1999,Aug,Thursday
830,44427,30000000,50,152159461,Kill Bill: Vol. 2,7.6,3948,4927,2004,Apr,Friday
832,44429,55000000,29,149022650,Death Becomes Her,6.3,636,4804,1992,Jul,Thursday
835,44432,55000000,32,187361754,Mr. Popper's Penguins,5.7,751,4955,2011,Jun,Friday
836,44433,55000000,17,127906624,The Forbidden Kingdom,6.3,461,4858,2008,Apr,Friday
838,44435,50000000,45,159773545,Alien³,6.2,1633,4829,1992,May,Friday
841,44438,50000000,12,75000000,The Ghost and the Darkness,6.4,236,5008,1996,Oct,Friday
845,44442,80000000,7,0,Instinct,6.2,146,4832,1999,Jun,Friday
846,44443,55000000,8,33828318,Stuck on You,5.1,188,5067,2003,Dec,Wednesday
849,44446,55000000,27,113020255,Changeling,7.3,1131,5087,2008,Jan,Wednesday
851,44448,55000000,4,18626419,The Fan,5.7,194,4923,1996,Aug,Thursday
852,44449,70000000,18,154648887,The Phantom of the Opera,7.0,438,4892,2004,Dec,Wednesday
861,44458,47000000,23,0,A Very Long Engagement,7.1,346,5125,2004,Oct,Tuesday
864,44461,54000000,67,155010032,Blade II,6.2,1528,4798,2002,Mar,Friday
867,44464,54000000,59,136766062,The Godfather: Part III,7.1,1546,5179,1990,Dec,Monday
868,44465,57000000,22,52034889,Elizabethtown,6.1,327,5056,2005,Oct,Thursday
873,44470,46000000,19,107196498,Shaft,5.5,308,5024,2000,Jun,Thursday
878,44475,90000000,23,65900249,Flags of Our Fathers,6.7,526,5087,2006,Oct,Wednesday
879,44476,53000000,49,126690726,Law Abiding Citizen,7.2,1486,5033,2009,Oct,Thursday
880,44477,67000000,16,25037897,Grindhouse,6.8,459,5097,2007,Apr,Friday
881,44478,0,1,0,Beloved,5.9,26,5009,1998,Oct,Friday
882,44479,0,6,5761917,Lucky You,5.4,81,5182,2007,May,Tuesday
883,44480,52000000,73,352114312,Catch Me If You Can,7.7,3795,4799,2002,Dec,Wednesday
887,44484,52000000,25,216485654,Valentine's Day,5.7,1013,5053,2010,Feb,Wednesday
892,44489,52000000,40,116112375,Casino,7.8,1307,4809,1995,Nov,Wednesday
895,44492,51000000,39,149270999,"Me, Myself & Irene",6.1,927,5067,2000,Jun,Thursday
897,44494,0,5,47231070,Deck the Halls,5.1,109,5191,2006,Nov,Wednesday
898,44495,50000000,94,709827462,The Twilight Saga: New Moon,5.6,2436,4780,2009,Mar,Sunday
899,44496,60000000,67,484409218,Shrek,7.3,4056,4774,2001,May,Wednesday
901,44498,48000000,28,390493908,Robin Hood: Prince of Thieves,6.6,909,4814,1991,Jun,Friday
902,44499,50000000,27,273552592,Jerry Maguire,6.7,913,5056,1996,Dec,Friday
905,44502,50000000,35,202292902,Patch Adams,7.0,832,4812,1998,Dec,Friday
906,44503,50000000,38,173649015,Anchorman 2: The Legend Continues,6.0,923,4925,2013,Dec,Wednesday
909,44506,52000000,30,256271286,Erin Brockovich,7.1,716,4909,2000,Mar,Friday
910,44507,50000000,23,177371441,How to Lose a Guy in 10 Days,6.3,850,5132,2003,Feb,Friday
912,44509,60000000,50,223664608,Interview with the Vampire,7.2,1516,5193,1994,Nov,Friday
915,44512,0,16,0,Stepmom,6.9,277,4885,1998,Dec,Friday
917,44514,50000000,65,212902372,Into the Woods,5.6,1652,4775,2014,Dec,Thursday
918,44515,45000000,45,184376254,Inside Man,7.3,1630,5195,2006,Mar,Thursday
919,44516,90000000,17,161626121,Payback,6.7,548,5196,1999,Feb,Friday
921,44518,50000000,38,120081841,We Bought a Zoo,6.5,909,5056,2011,Dec,Thursday
922,44519,50000000,32,155446362,Knowing,5.9,1486,4865,2009,Mar,Thursday
929,44526,50000000,30,189859560,Outbreak,6.3,513,4833,1995,Mar,Friday
930,44527,50000000,83,222809600,Non-Stop,6.8,2268,5202,2014,Jan,Sunday
931,44528,50000000,23,106303988,Race to Witch Mountain,5.5,509,5203,2009,Mar,Thursday
936,44533,50000000,11,100020092,Don't Say a Word,6.0,220,5207,2001,Sep,Friday
941,44538,50000000,42,69411370,13 Hours: The Secret Soldiers of Benghazi,7.0,938,4788,2016,Jan,Wednesday
944,44541,50000000,13,50068310,Absolute Power,6.4,223,5087,1997,Feb,Friday
945,44542,50000000,19,48169156,G.I. Jane,6.0,395,4779,1997,Aug,Friday
946,44543,50000000,62,109423648,The Game,7.5,1506,4829,1997,Sep,Friday
950,44547,50000000,28,44547681,The Negotiator,6.8,582,5033,1998,Jul,Wednesday
952,44549,50000000,20,119208989,Beverly Hills Cop III,5.5,434,5217,1994,May,Tuesday
953,44550,50000000,33,41482207,Gremlins 2: The New Batch,6.2,652,5017,1990,Jun,Friday
960,44557,50000000,12,69425966,The Adventures of Sharkboy and Lavagirl,4.4,269,5097,2005,Jun,Friday
961,44558,40000000,41,144056873,The Beach,6.3,1233,5222,2000,Feb,Friday
962,44559,50000000,13,49718611,Raising Helen,5.9,189,5053,2004,May,Thursday
964,44561,50000000,9,0,For Love of the Game,6.3,88,4767,1999,Sep,Friday
967,44564,50000000,13,105197635,Hereafter,5.8,510,5087,2010,Oct,Friday
969,44566,50000000,23,30303072,Assassins,6.0,387,4866,1995,Oct,Friday
971,44568,50000000,6,58900031,The Story of Us,5.9,75,5101,1999,Oct,Wednesday
972,44569,44000000,42,63327201,The Host,6.0,1817,5226,2013,Mar,Friday
973,44570,50000000,19,42792561,Basic,6.2,286,4890,2003,Apr,Friday
974,44571,50000000,10,26199517,Blood Work,6.1,206,5087,2002,Aug,Sunday
975,44572,50000000,13,60161391,The International,6.0,368,4936,2009,Feb,Tuesday
976,44573,50000000,21,42277365,Escape from L.A.,5.6,373,5227,1996,Aug,Friday
978,44575,50000000,25,34808403,The Life Aquatic with Steve Zissou,7.1,775,5228,2004,Dec,Friday
981,44578,40000000,6,0,Man of the House,5.4,120,5152,2005,Feb,Friday
982,44579,50000000,74,71561644,Run All Night,6.3,1148,5202,2015,Mar,Wednesday
983,44580,51500000,35,55112356,Eastern Promises,7.2,848,5229,2007,Sep,Friday
985,44582,60000000,21,66976317,The Messenger: The Story of Joan of Arc,6.2,367,4949,1999,Oct,Monday
986,44583,49900000,21,26121638,Your Highness,5.2,501,5231,2011,Apr,Friday
991,44588,22000000,12,24188922,Fair Game,6.5,235,4813,2010,May,Thursday
992,44589,50000000,18,22944502,Domino,6.0,444,4923,2005,Sep,Thursday
995,44592,60000000,40,60052138,Beautiful Creatures,5.6,984,5235,2013,Feb,Wednesday
997,44594,50000000,37,55969000,Zoolander 2,4.7,797,4960,2016,Feb,Saturday
999,44596,60000000,2,0,What Planet Are You From?,5.4,37,5031,2000,Mar,Friday
1001,44598,50000000,8,12764201,Street Fighter: The Legend of Chun-Li,3.9,112,5061,2009,Feb,Friday
1003,44600,49000000,2,20423389,The Adventures of Ford Fairlane,6.2,71,4958,1990,Jul,Wednesday
1005,44602,48000000,25,207515725,Traffic,6.9,562,4909,2000,Dec,Wednesday
1006,44603,48000000,80,474171806,Indiana Jones and the Last Crusade,7.6,3152,4799,1989,May,Wednesday
1007,44604,0,26,68929150,Anna Karenina,6.5,639,4857,2012,Sep,Thursday
1009,44606,73000000,33,151493655,The Bone Collector,6.5,826,4880,1999,Nov,Thursday
1010,44607,48000000,53,196397415,Panic Room,6.5,1267,4829,2002,Mar,Friday
1012,44609,75000000,34,108000000,Three Kings,6.6,692,5123,1999,Sep,Monday
1016,44613,0,11,0,Kate & Leopold,6.0,418,4900,2001,Dec,Tuesday
1017,44614,48000000,19,90383208,Bedazzled,5.6,512,5130,2000,Oct,Thursday
1018,44615,58000000,8,25928721,The Cotton Club,6.6,68,5179,1984,Dec,Friday
1019,44616,55000000,48,70016220,3:10 to Yuma,6.9,1188,4900,2007,Sep,Thursday
1021,44618,48000000,16,77745568,Out of Sight,6.5,333,4909,1998,Jun,Friday
1022,44619,47000000,19,102825796,The Cable Guy,5.7,594,4960,1996,Jun,Monday
1025,44622,48000000,18,124305181,The Thomas Crown Affair,6.6,339,4890,1999,Aug,Friday
1030,44627,47000000,6,12379402,Mary Reilly,5.7,74,5249,1996,Feb,Friday
1033,44630,46000000,41,113714830,Insomnia,6.8,1148,4765,2002,May,Friday
1036,44633,46000000,12,100860818,Courage Under Fire,6.2,232,4863,1996,Jul,Thursday
1037,44634,45000000,26,181000000,Liar Liar,6.4,1424,4812,1997,Mar,Friday
1040,44637,46000000,28,341631208,The Flintstones,5.0,543,5116,1994,May,Thursday
1042,44639,48000000,36,220673217,Scary Movie 3,5.8,912,5253,2003,Oct,Friday
1043,44640,45000000,32,212000000,Miss Congeniality,6.1,961,5132,2000,Dec,Thursday
1045,44642,40000000,30,95149435,The Princess Diaries 2: Royal Engagement,6.0,697,5053,2004,Aug,Friday
1047,44644,45000000,17,117615211,The Client,6.4,278,4892,1994,Jul,Wednesday
1048,44645,45000000,31,175372502,The Bucket List,7.0,1111,5101,2007,Dec,Tuesday
1049,44646,45000000,19,178051587,Patriot Games,6.3,433,4880,1992,Jun,Thursday
1050,44647,43000000,10,154749918,Monster-in-Law,5.6,406,5035,2005,May,Friday
1052,44649,45000000,52,104876233,Training Day,7.3,1634,5034,2001,Oct,Friday
1071,44668,40000000,44,123494610,Blended,6.6,1006,4917,2014,May,Wednesday
1072,44669,45000000,6,38399961,Last Holiday,6.4,119,5162,2006,Jan,Friday
1073,44670,45000000,12,0,The River Wild,6.1,210,5182,1994,Sep,Friday
1074,44671,45000000,11,0,The Indian in the Cupboard,5.9,134,4947,1995,Jul,Friday
1075,44672,45000000,31,82966152,Savages,6.2,766,4839,2012,Jul,Friday
1076,44673,25000000,24,56422687,Cellular,6.1,537,5262,2004,Sep,Monday
1079,44676,40000000,25,30925690,Dune,6.5,562,5265,1984,Dec,Friday
1081,44678,35000000,20,75225693,Revolutionary Road,6.7,796,4764,2008,Dec,Friday
1082,44679,55000000,32,65664721,16 Blocks,6.2,661,4866,2006,Mar,Wednesday
1085,44682,45000000,11,0,Multiplicity,5.5,154,5130,1996,Jul,Friday
1091,44688,44000000,3,13681765,Nixon,7.1,71,4839,1995,Dec,Friday
1092,44689,45000000,21,60222298,The Ghost Writer,6.7,670,5096,2010,Feb,Friday
1094,44691,45000000,11,9323833,Miracle at St. Anna,6.3,90,5195,2008,Sep,Monday
1095,44692,110,9,0,Curse of the Golden Flower,6.6,203,4945,2006,Dec,Thursday
1097,44694,40000000,5,8493890,Big Trouble,6.3,80,4776,2002,Apr,Friday
1098,44695,45000000,5,4607608,Love in the Time of Cholera,6.4,81,4797,2007,Oct,Thursday
1104,44701,40000000,33,136000000,The Bounty Hunter,5.5,858,5039,2010,Mar,Tuesday
1105,44702,44000000,16,165615285,Sleepers,7.3,715,5037,1996,Oct,Friday
1112,44709,43000000,19,80049764,Finding Forrester,7.0,302,5283,2000,Dec,Thursday
1114,44711,45000000,25,50871113,Unleashed,6.6,518,4873,2005,Feb,Wednesday
1116,44713,42000000,23,270248367,The Firm,6.6,501,4965,1993,Jun,Wednesday
1118,44715,40000000,44,51070807,The Mechanic,6.3,1045,4930,2011,Jan,Thursday
1126,44723,0,26,73100172,Here Comes the Boom,6.0,593,4917,2012,Oct,Thursday
1130,44727,42000000,16,0,Brüno,5.4,518,5088,2009,Jul,Wednesday
1131,44728,32000000,28,156167015,Licence to Kill,5.9,541,5292,1989,Jul,Friday
1132,44729,42000000,45,89162162,Red Riding Hood,5.6,922,5293,2011,Mar,Friday
1135,44732,42000000,34,24127895,Lord of War,7.0,1335,5226,2005,Sep,Friday
1136,44733,31000000,23,177394432,Hero,7.2,635,4945,2002,Dec,Thursday
1140,44737,33000000,7,14000000,Micmacs,6.8,148,5125,2009,Oct,Wednesday
1141,44738,41000000,32,215000000,8 Mile,6.8,1626,5182,2002,Nov,Friday
1143,44740,65000000,36,117487473,A Knight's Tale,6.6,907,5196,2001,May,Friday
1145,44742,40000000,73,672806292,The Sixth Sense,7.7,3147,4854,1999,Aug,Friday
1149,44746,40000000,49,251171807,American Hustle,6.8,2807,5123,2013,Dec,Thursday
1150,44747,40000000,36,317375031,The Proposal,6.7,1804,5303,2009,Jun,Monday
1152,44749,40000000,43,332000000,Back to the Future Part II,7.4,3829,4804,1989,Nov,Monday
1153,44750,40000000,115,126546825,Lucy,6.3,5878,4949,2014,Jul,Monday
1155,44752,38000000,21,197011982,Spy Kids 3-D: Game Over,4.7,511,5097,2003,Jul,Friday
1156,44753,40000000,25,152266007,A Time to Kill,7.0,509,4892,1996,Jul,Wednesday
1157,44754,40000000,26,190212113,Cheaper by the Dozen,6.0,699,4842,2003,Dec,Wednesday
1158,44755,40000000,37,149295601,Lone Survivor,7.4,1526,4782,2013,Dec,Tuesday
